ABC Report,Relatório de ABC
Exhibit Settings,Configurações de Feira / Exposição
Exhibits,Feiras e Exposições
Facility Occupancy,Ocupação da Instalação
Filing Compliance Report,Relatório de Filing Compliance
Financial Overview,Visão Financeira
Flight Details,Detalhes de Flight
Flight Route,Rota de Voo
Flight Schedule,Programação de Voos
Flight Schedule Settings,Configurações de Programação de Voos
Forwarding Agent,Agente de Carga (Freight Forwarder)
Freight Term,Condição de Frete (Prepaid / Collect)
General Details,Dados Gerais
General Settings,Configurações de General
Get Charges from Quotation,Importar Cobranças da Cotação
Get Charges from Tariff,Aplicar Tarifas da Tabela
Global Customs Dashboard,Painel de Global Customs
Goods Details,Detalhes de Goods
GrabExpress Settings,Configurações de GrabExpress
Gross Profit,Lucro Bruto (GP)
Gross Weight,Peso Bruto
Handling Charges,Cobranças de Handling
Handling Instructions,Instruções de Manuseio
Haulage,Transporte Rodoviário / Carreto
Height,Altura (cm)
High Value,Cargas de Alto Valor
House Air Waybill,Conhecimento Aéreo Filhote (HAWB)
House Bill,Conhecimento Marítimo Filhote (HBL)
House Details,Detalhes de House
IATA Settings,Configurações IATA
ISO Container Details,Detalhes de ISO Container
Import Duty,Imposto de Importação
In Transit,Em Trânsito
Inbound Order,Ordem de Recebimento / Entrada
Inbound Order Charges,Cobranças de Ordem de Recebimento / Entrada
Incoterm,Incoterm
Integration Settings,Configurações de Integration
Intercompany Settings,Configurações de Intercompany
Invoice Charges,Cobranças de Invoice
Invoice Details,Detalhes de Invoice
Item,Item / Mercadoria
Japan AFR Settings,Configurações de Japan AFR
Job Details,Detalhes de Job
Job Lifecycle,Ciclo de Vida da Operação
Job Management,Gestão Operacional de Serviços
Job Milestone,Marco do Processo
Labor Productivity Report,Relatório de Labor Productivity
Lalamove Settings,Configurações de Lalamove
Leg Details,Detalhes de Leg
Length,Comprimento (cm)
Live Tracking,Rastreamento em Tempo Real
Location Settings,Configurações de Location
Lock Charges,Travar Cobranças
Logistics Details,Detalhes de Logistics
Logistics Settings,Configurações de Logistics
MICE,Eventos e Convenções (MICE)
MICE Activity Status Report,Relatório de MICE Activity Status
MICE Billing Status Report,Relatório de MICE Billing Status
MICE Pipeline Report,Relatório de MICE Pipeline
MICE Project,Projeto MICE (Eventos)
MICE Project Charges,Cobranças de Projeto MICE (Eventos)
MICE Project Consolidation Charges,Cobranças de MICE Project Consolidation
MICE Project Details,Detalhes de Projeto MICE (Eventos)
MICE Settings,Configurações de Eventos e Convenções (MICE)
Machine Productivity Report,Relatório de Machine Productivity
Manifest Settings,Configurações de Manifest
Manifest Status Report,Relatório de Manifest Status
Marks & Numbers,Marcas e Números
Master Air Waybill,Conhecimento Aéreo Master (MAWB)
Master Bill,Conhecimento Marítimo Master (B/L Master)
Master Details,Detalhes de Master
Milestone,Marco / Etapa Operacional
Milestones,Marcos Operacionais
Module Settings,Configurações de Module
Net Weight,Peso Líquido
Netting,Compensação de Contas (Netting)
NinjaVAN Settings,Configurações de NinjaVAN
Notes,Observações
Notification Settings,Configurações de Notification
Notify Party,Notificado (Notify Party)
Number of Packages,Quantidade de Volumes
ODDS Settings,Configurações de ODDS
On-Time Delivery Report,Relatório de On-Time Delivery
On-Time Performance Report,Relatório de On-Time Performance
Open,Aberto
Operational Details,Detalhes de Operational
Operational Exchange Rate,Taxa de Câmbio Operacional
Operations,Operações
Order Details,Detalhes de Order
Origin,Origem
Origin Details,Detalhes de Origem
Other Charges,Cobranças de Other
Other Details,Detalhes de Other
Outlook Calendar Settings,Configurações de Outlook Calendar
Package Type,Tipo de Embalagem
Packages & Cargo,Volumes e Mercadorias
Packing List,Romaneio de Carga (Packing List)
PandaGo Settings,Configurações de PandaGo
Payment Term,Condição de Pagamento
Penalty Settings,Configurações de Penalty
Pending Approval,Pendente de Aprovação
Performance Settings,Configurações de Performance
Periodic Billing Charges,Cobranças de Periodic Billing
Permit Details,Detalhes de Permit
Phone,Telefone
Pick Details,Detalhes de Pick
Pick Window,Janela de Coleta
Pieces,Peças / Unidades
Pipeline Entry,Oportunidade no Funil (Pipeline)
Planned,Planejado
Port Charges,Cobranças de Port
Port of Discharge,Porto de Descarga
Port of Loading,Porto de Embarque
Port of Transshipment,Porto de Transbordo
Portal Settings,Configurações de Portal
Postal Code,CEP / Código Postal
Pricing,Precificação e Tarifas
Pricing Center,Central de Precificação
Pricing Center Settings,Configurações de Central de Precificação
Print Document,Imprimir Documento
Profit Center,Centro de Lucro
Profit Margin,Margem de Lucro
Profitability,Demonstrativo de Rentabilidade
Project Job,Serviço de Projeto
Project Task Order,Ordem de Tarefas do Projeto
Projects Report,Relatório de Projects
Quantity,Quantidade
Quotation Details,Detalhes de Quotation
Quote Charges,Cobranças de Quote
Quote Details,Detalhes de Quote
Rate,Taxa / Preço Unitário
Recognition Policy Settings,Configurações de Recognition Policy
Reference,Referência
Refresh Tracking,Atualizar Rastreamento
Rejected,Rejeitado
Release Order,Ordem de Expedição / Saída
Release Order Charges,Cobranças de Ordem de Expedição / Saída
Released,Liberado
Remarks,Comentários
Reopen Job,Reabrir Processo
Reporting Settings,Configurações de Reporting
Reports,Relatórios
Resource Center,Centro de Recursos
Returned Billing,Faturamento Devolvido / Glosa
Revenue Recognition Policy Settings,Configurações de Revenue Recognition Policy
Risk Register Entry,Registro de Risco
Road Compliance Report,Relatório de Road Compliance
Route Analysis Report,Relatório de Route Analysis
Route Details,Detalhes de Route
Routing & Schedule,Rotas e Prazos
Routing Details,Detalhes de Routing
Run Sheet,Folha de Rota / Viagem
Sales Quote,Cotação de Venda
Sales Quote Pack,Pacote de Cotações
Sea Booking,Reserva Marítima (Sea Booking)
Sea Booking Charges,Cobranças da Reserva Marítima
Sea Booking Packages,Volumes de Reserva Marítima (Sea Booking)
Sea Consolidation,Consolidação Marítima
Sea Consolidation Charges,Cobranças de Consolidação Marítima
Sea Consolidation Packages,Volumes de Consolidação Marítima
Sea Consolidation Report,Relatório de Consolidação Marítima
Sea Freight,Frete Marítimo
Sea Freight Billing Status Report,Relatório de Sea Freight Billing Status
Sea Freight On-Time Performance Report,Relatório de Sea Freight On-Time Performance
Sea Freight Packages,Volumes de Frete Marítimo
Sea Freight Performance Dashboard,Painel de Sea Freight Performance
Sea Freight Settings,Configurações de Frete Marítimo
Sea Shipment,Embarque Marítimo (Sea Shipment)
Sea Shipment Charges,Cobranças do Embarque Marítimo
Sea Shipment Status Report,Relatório de Sea Shipment Status
Send Email,Enviar por E-mail
Service Level Details,Detalhes de Service Level
Settings,Configurações
Settlement Details,Detalhes de Settlement
Shipment Details,Detalhes de Shipment
Shipper,Exportador / Embarcador (Shipper)
Shipping Line,Armador / Linha de Navegação
Shipping Line Performance Report,Relatório de Shipping Line Performance
Source Exchange Rate,Taxa de Câmbio de Origem
Special Instructions,Instruções Especiais
Special Project,Projeto Especial
Special Project Billing Status Report,Relatório de Special Project Billing Status
Special Project Charges,Cobranças de Projeto Especial
Special Project Cost vs Revenue Report,Relatório de Special Project Cost vs Revenue
Special Project Pipeline Report,Relatório de Special Project Pipeline
Special Project Profitability Report,Relatório de Special Project Profitability
Special Project Settings,Configurações de Projeto Especial
Special Projects,Projetos Especiais
Special Projects Report,Relatório de Projetos Especiais
Special Projects by Customer Report,Relatório de Special Projects by Customer
Standard Costing Settings,Configurações de Standard Costing
Standard Details,Detalhes de Standard
Started,Iniciado
State,Estado / UF
Status,Status
Stocktake Order Charges,Cobranças de Stocktake Order
Storage Details,Detalhes de Storage
Storage Location,Localização no Armazém
Summary,Resumo
Supplier,Fornecedor
Sustainability,Sustentabilidade e Carbono
Sustainability Compliance Report,Relatório de Sustainability Compliance
Sustainability Dashboard Report,Relatório de Sustainability Dashboard
Sustainability Goals Report,Relatório de Sustainability Goals
Sustainability Metrics Report,Relatório de Sustainability Metrics
Sustainability Report,Relatório de Sustentabilidade e Carbono
Sustainability Settings,Configurações de Sustentabilidade e Carbono
Sync Details,Detalhes de Sync
Sync Schedulers,Sincronizar Programações
Tariff,Tabela de Tarifas
Tariff Charge,Item de Tarifa
Telematics Settings,Configurações de Telematics
Terminal Handling Charges,Cobranças de Terminal Handling
Terms and Conditions Details,Detalhes de Terms and Conditions
Total,Total
Total Charges,Cobranças de Total
Total Cost,Custo Total
Total Packages,Total de Volumes
Total Revenue,Receita Total
Track Shipment,Rastrear Carga
Tracking,Rastreamento
Transfer Order,Ordem de Transferência
Transfer Order Charges,Cobranças de Ordem de Transferência
Transport,Transporte Rodoviário
Transport Capacity Settings,Configurações de Transport Capacity
Transport Consolidation,Consolidação de Carga Terrestre
Transport Driver,Motorista de Transporte
Transport Job,Viagem / Serviço de Transporte
Transport Job Charges,Cobranças de Viagem / Serviço de Transporte
Transport Order,Ordem de Transporte
Transport Order Charges,Cobranças de Ordem de Transporte
Transport Route,Rota de Transporte
Transport Settings,Configurações de Transporte Rodoviário
Transport Vehicle,Veículo de Transporte
Transportify Settings,Configurações de Transportify
Trend Analysis Report,Relatório de Trend Analysis
Type,Tipo
US AMS Settings,Configurações de US AMS
US ISF Settings,Configurações de US ISF
Under Clearance,Em Desembaraço
Unit Load Device,Dispositivo de Carga Unitária (ULD)
Unlock Charges,Destravar Cobranças
User,Usuário
VAR Order Charges,Cobranças de VAR Order
VAS Order,Ordem de Serviços de Valor Agregado (VAS)
VAS Order Charges,Cobranças de Ordem de Serviços de Valor Agregado (VAS)
Validation Settings,Configurações de Validation
Vehicle Maintenance Log,Registro de Manutenção do Veículo
Vehicle Utilization Report,Relatório de Vehicle Utilization
Vessel,Navio / Embarcação
View on Map,Ver no Mapa
Volume,Volume (m³ / CBM)
Volume (CBM),Volume (m³)
Voyage Details,Detalhes de Voyage
Warehouse Contract,Contrato de Armazenagem
Warehouse Job,Ordem de Armazenagem
Warehouse Job Charges,Cobranças de Ordem de Armazenagem
Warehouse Settings,Configurações de Warehouse
Warehousing,Armazenagem
Warranty / AMC Details,Detalhes de Warranty / AMC
Waste Management Report,Relatório de Waste Management
Width,Largura (cm)
Workflow Settings,Configurações de Workflow
